CustomerID,Region,TownSize,Gender,Age,EducationYears,JobCategory,UnionMember,EmploymentLength,Retired,HHIncome,DebtToIncomeRatio,CreditDebt,OtherDebt,LoanDefault,MaritalStatus,HouseholdSize,NumberPets,NumberCats,NumberDogs,NumberBirds,HomeOwner,CarsOwned,CarOwnership,CarBrand,CarValue,CommuteTime,PoliticalPartyMem,Votes,CreditCard,CardTenure,CardItemsMonthly,CardSpendMonth,ActiveLifestyle,PhoneCoTenure,VoiceLastMonth,VoiceOverTenure,EquipmentRental,EquipmentLastMonth,EquipmentOverTenure,CallingCard,WirelessData,DataLastMonth,DataOverTenure,Multiline,VM,Pager,Internet,CallerID,CallWait,CallForward,ThreeWayCalling,EBilling,TVWatchingHours,OwnsPC,OwnsMobileDevice,OwnsGameSystem,OwnsFax,NewsSubscriber,age_generations,education_level,income_class,monthly_tele_spending_ratio,data_equip_voice_sum,credit_debt_actual,other_debt_actual,total_debt,voice_to_total_ratio,equipment_to_total_ratio,data_to_total_ratio,tv_watching_level
8170-YHWTSQ-825,Southeast,large,Male,75,11,Sales,No,2,Yes,10000,2.4,0.03888,0.20112,No,Unmarried,1,1,1,0,0,0,1,Own,Domestic,4900,24,No,No,Disc,23,17,1972.7,No,46,59.4,884.75,No,0,0,Yes,No,0,0,No,No,No,No,Yes,Yes,Yes,Yes,No,21,Yes,No,No,No,Yes,Boomers,Less Than High School,LowerClass,0.030111015,59.4,3888,20112,24000,1,0,0,Medium
1144-GVCZDP-8DV,Midwest,medium,Female,49,22,Professional,Yes,3,No,73000,9.2,1.437224,5.278776,No,Married,5,13,2,0,0,1,1,Own,Foreign,33900,19,No,Yes,Disc,13,4,782.2,Yes,31,21,238,Yes,57.25,1740.25,No,Yes,62.3,1879.25,Yes,Yes,Yes,,No,No,No,No,Yes,22,Yes,Yes,Yes,Yes,No,Gen X,Professional or Doctorate,MiddleClass,0.179685502,140.55,143722.4,527877.6,671600,0.14941302,0.407328353,0.443258627,Medium
8846-JJEGFU-I69,Northeast,very_large,Female,59,13,Professional,No,15,No,63000,6,0.59346,3.18654,No,Unmarried,1,0,0,0,0,0,1,Own,Domestic,36200,16,Yes,No,Disc,13,9,2835.9,No,41,39,479,No,0,0,Yes,Yes,19.35,764.35,No,No,No,,Yes,Yes,Yes,Yes,No,13,Yes,Yes,Yes,Yes,No,Gen X,Some College,MiddleClass,0.020575479,58.35,59346,318654,378000,0.668380463,0,0.331619537,Medium
4226-TEHKPJ-GKG,Northeast,large,Female,55,12,Service,No,10,No,50000,5.1,1.0863,1.4637,No,Married,3,0,0,0,0,1,2,Own,Domestic,31800,21,Yes,No,AMEX,22,11,5011.1,No,49,27.9,465.5,No,0,0,Yes,No,0,0,No,Yes,No,No,Yes,Yes,Yes,Yes,No,29,No,No,No,No,Yes,Gen X,Professional or Doctorate,LowerMiddle,0.00556764,27.9,108630,146370,255000,1,0,0,High
9714-LCYJJB-SCS,Southeast,large,Male,25,14,Professional,No,1,No,50000,10.5,1.218,4.032,Yes,Unmarried,5,1,0,1,0,0,0,NA,NA,1000,15,No,Yes,Disc,7,11,3919.7,Yes,46,43.35,659.35,Yes,29.75,1319.5,Yes,No,0,0,Yes,Yes,No,,No,No,No,No,No,22,Yes,No,Yes,No,Yes,Gen Z,Some College,LowerMiddle,0.018649386,73.1,121800,403200,525000,0.593023256,0.406976744,0,Medium
2866-TTOTKL-TA7,Southeast,small,Male,78,11,Service,No,30,Yes,28000,9.8,1.635424,1.108576,No,Married,2,9,0,0,0,0,2,Own,Domestic,15800,34,No,Yes,Visa,14,5,1637.2,No,31,15,133.35,No,0,0,Yes,No,0,0,No,No,No,No,No,No,No,No,No,20,No,No,No,No,Yes,Boomers,Less Than High School,LowerClass,0.009161984,15,163542.4,110857.6,274400,1,0,0,Medium
7217-UECHSF-PCR,Northeast,very_large,Female,48,11,Sales,No,2,No,23000,18.7,2.051577,2.249423,Yes,Unmarried,2,9,0,0,0,1,2,Own,Domestic,9300,23,No,No,Othe,11,11,2680.9,Yes,23,19.5,169.8,No,0,0,Yes,Yes,19.7,387.9,No,No,No,Yes,Yes,Yes,Yes,Yes,No,28,Yes,No,No,No,No,Gen X,Less Than High School,LowerClass,0.014621955,39.2,205157.7,224942.3,430100,0.49744898,0,0.50255102,High
0197-AMEAYR-851,Southeast,very_large,Male,47,19,Sales,No,1,No,75000,2.2,0.1023,1.5477,No,Married,2,6,0,0,0,0,1,Own,Foreign,46100,22,No,Yes,AMEX,15,14,3336.8,No,21,18.45,141.25,Yes,26.35,516.3,Yes,No,0,0,No,No,No,No,No,No,No,No,Yes,19,Yes,Yes,No,No,No,Gen X,Masters,MiddleClass,0.013426037,44.8,10230,154770,165000,0.411830357,0.588169643,0,Medium
1743-WAHPKT-DNW,Southeast,very_large,Male,75,10,Sales,No,11,No,28000,3.3,0.394548,0.529452,No,Married,2,0,0,0,0,1,1,Own,Domestic,13800,20,Yes,No,AMEX,3,10,4535.2,No,16,12.9,75,No,0,0,No,No,0,0,No,No,No,No,No,Yes,No,No,No,12,No,No,No,No,No,Boomers,Less Than High School,LowerClass,0.002844417,12.9,39454.8,52945.2,92400,1,0,0,Medium
9840-VEWFQZ-W5V,West,very_large,Female,43,19,Sales,No,4,No,33000,12.6,2.116422,2.041578,No,Married,2,5,0,0,0,1,1,Own,Foreign,17200,22,Yes,Yes,Disc,9,14,2724.4,Yes,27,19.95,201.55,No,0,0,No,No,0,0,No,No,No,No,No,No,No,No,No,18,No,No,Yes,No,No,Millennials,Masters,LowerMiddle,0.007322713,19.95,211642.2,204157.8,415800,1,0,0,Medium
6203-JLXPIJ-YQZ,Southeast,very_small,Male,45,10,Labor,No,15,No,44000,13.6,0.98736,4.99664,No,Married,5,1,1,0,0,1,1,Own,Foreign,30900,39,Yes,No,Mast,27,9,2837.2,Yes,62,48.45,1016.85,No,0,0,Yes,No,0,0,Yes,No,No,No,No,No,No,No,No,13,No,No,No,No,No,Gen X,Less Than High School,LowerMiddle,0.017076695,48.45,98736,499664,598400,1,0,0,Medium
4166-WEDNXN-5RK,Southeast,small,Male,21,16,Service,No,0,No,31000,9.2,0.77004,2.08196,Yes,Unmarried,1,6,1,0,0,0,2,Own,Domestic,16000,25,No,Yes,Disc,3,9,1965.6,Yes,13,14.25,47.55,No,0,0,No,No,0,0,No,No,No,Yes,No,No,No,No,No,17,Yes,No,Yes,No,No,Gen Z,Bachelors,LowerMiddle,0.007249695,14.25,77004,208196,285200,1,0,0,Medium
4643-WSLHBV-DM5,Midwest,very_large,Male,53,21,Service,No,19,No,284000,9.4,15.456984,11.239016,Yes,Unmarried,1,2,0,0,2,1,2,Own,Domestic,92400,29,Yes,Yes,Disc,30,12,10103.4,No,48,40.05,661.55,No,0,0,Yes,Yes,57.05,2716.6,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,13,Yes,Yes,Yes,Yes,Yes,Gen X,Professional or Doctorate,UpperClass,0.009610626,97.1,1545698.4,1123901.6,2669600,0.41246138,0,0.58753862,Medium
1441-JNZRPW-8KQ,West,medium,Female,30,13,Labor,No,8,No,49000,2.1,0.193452,0.835548,No,Unmarried,1,2,2,0,0,1,3,Own,Domestic,28800,34,No,Yes,Visa,2,12,2215.6,No,3,12.15,11.15,No,0,0,No,No,0,0,No,No,No,No,No,No,No,No,Yes,18,No,Yes,Yes,No,No,Millennials,Some College,LowerMiddle,0.005483842,12.15,19345.2,83554.8,102900,1,0,0,Medium
5811-BKUTYY-F7I,Midwest,very_large,Female,58,19,Labor,No,18,Yes,15000,7.6,0.08436,1.05564,No,Unmarried,1,4,0,0,0,0,1,Own,Foreign,9200,20,No,Yes,Mast,19,4,650.8,No,42,49.65,710.95,No,0,0,Yes,No,0,0,No,No,No,,No,Yes,No,Yes,No,16,Yes,Yes,No,No,No,Gen X,Masters,LowerClass,0.076290719,49.65,8436,105564,114000,1,0,0,Medium
0926-OZQUQX-GXA,Midwest,large,Male,35,11,Professional,Yes,5,No,17000,2.3,0.254932,0.136068,Yes,Married,4,4,0,0,0,1,1,Own,Foreign,11400,24,No,No,Disc,17,12,1921.9,Yes,48,38.7,555.75,No,0,0,Yes,No,0,0,Yes,No,No,No,No,No,Yes,No,No,26,Yes,No,No,No,Yes,Millennials,Less Than High School,LowerClass,0.020136323,38.7,25493.2,13606.8,39100,1,0,0,High
5007-HXEVVL-NW5,West,large,Female,48,14,Professional,No,14,No,83000,11.3,4.820806,4.558194,No,Married,2,7,0,1,0,1,1,Own,Foreign,36000,26,Yes,No,Disc,12,8,2204.6,Yes,37,16.8,221.2,Yes,49.85,1886.7,Yes,Yes,50,1710.15,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,22,Yes,Yes,Yes,Yes,No,Gen X,Some College,MiddleClass,0.052912093,116.65,482080.6,455819.4,937900,0.144020574,0.427346764,0.428632662,Medium
8267-UTARFV-TZK,Southwest,very_large,Female,61,20,Service,No,11,No,62000,2.3,0.537602,0.888398,No,Married,4,2,0,2,0,1,0,NA,NA,1000,23,No,Yes,AMEX,12,10,4158,Yes,30,16.8,174.05,No,0,0,Yes,No,0,0,No,No,No,No,No,Yes,Yes,Yes,Yes,18,No,Yes,No,No,No,Boomers,Professional or Doctorate,MiddleClass,0.004040404,16.8,53760.2,88839.8,142600,1,0,0,Medium
